C00153031|97034|2018|250|250|1
C00153031|97317|2018|285|285|1
C00153031|97201|2018|2000|2000|1
C00153031|97302|2018|250|250|1
C00449686|93601|2018|600|600|1
C00449686|93637|2018|650|650|1
C00449686|93637|2018|600|1250|2
C00449686|93637|2018|600|1850|3
C00406645|76137|2018|1250|1250|1
C00406645|76109|2018|1250|1250|1
C00406645|76401|2018|350|350|1
C00406645|76015|2018|1250|1250|1
C00406645|76110|2018|550|550|1
C00406645|76132|2018|1250|1250|1
C00482372|32968|2018|280|280|1
C00482372|33255|2018|250|250|1
C00406645|76099|2018|250|250|1
C00406645|76092|2018|2000|2000|1
C00406645|76262|2018|250|250|1
C00406645|76017|2018|5000|5000|1
C00406645|76133|2018|250|250|1
C00406645|76001|2018|1250|1250|1
C00406645|76180|2018|1000|1000|1
C00406645|76202|2018|3000|3000|1
C00406645|76028|2018|250|250|1
C00406645|76092|2018|250|2250|2
C00406645|76016|2018|350|350|1
C00406645|76123|2018|350|350|1
C00639401|80911|2018|50|50|1
C00044776|36277|2018|75|75|1
C00044776|35031|2018|360|360|1
C00044776|36263|2018|150|150|1
C00044776|36330|2018|300|300|1
C00044776|36330|2018|75|375|2
C00044776|36109|2018|3480|3480|1
C00044776|35242|2018|3480|3480|1
C00044776|35748|2018|150|150|1
C00044776|36026|2018|180|180|1
C00044776|36561|2018|75|75|1
C00044776|35758|2018|75|75|1
C00044776|36117|2018|225|225|1
C00044776|35661|2018|150|150|1
C00044776|36870|2018|150|150|1
C00044776|36265|2018|180|180|1
C00044776|36274|2018|300|300|1
C00044776|36104|2018|250|250|1
C00044776|35661|2018|150|300|2
C00044776|35801|2018|1500|1500|1
C00003111|04062|2018|10|10|1
C00003111|04444|2018|2000|2000|1
C00003111|04078|2018|500|500|1
C00003111|04843|2018|250|250|1
C00003111|04110|2018|150|150|1
C00003111|03911|2018|250|250|1
C00003111|04032|2018|1000|1000|1
C00003111|04855|2018|1000|1000|1
C00003111|04105|2018|2000|2000|1
C00003111|04901|2018|2500|2500|1
C00003111|04945|2018|250|250|1
C00608489|07094|2018|10|10|1
C00608489|76063|2018|500|500|1
C00608489|32040|2018|25|25|1
C00608489|77345|2018|50|50|1
C00640623|35902|2018|150|150|1
C00640623|35213|2018|300|300|1
C00640623|87111|2018|1183|1183|1
C00640623|35226|2018|500|500|1
